Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.993787	3.646505	8.538000	14.240000	
0.100000	3.397956	3.327698	17.008000	19.710000	
0.100000	2.911073	2.777845	25.850000	29.040000	
0.100000	2.529831	2.567151	33.746000	33.030000	
0.100000	2.240086	2.352495	39.772000	38.260000	
0.100000	2.028607	2.283118	44.312000	40.410000	
0.100000	1.881660	2.259031	47.740000	41.220000	
0.100000	1.741718	1.949428	51.422000	47.570000	
0.100000	1.645541	1.868691	53.836000	50.330000	
0.100000	1.547667	1.834084	55.774000	50.940000	
0.100000	1.476532	1.906719	57.978000	49.940000	
0.100000	1.404869	1.757240	59.742000	52.940000	
0.100000	1.354112	1.768877	60.810000	52.500000	
0.100000	1.301369	1.589624	62.392000	56.240000	
0.100000	1.258466	1.633144	63.326000	56.320000	
0.100000	1.206779	1.422262	64.782000	59.940000	
0.100000	1.173326	1.582967	65.838000	56.610000	
0.100000	1.142069	1.665102	66.498000	55.350000	
0.100000	1.118408	1.687543	67.308000	55.700000	
0.100000	1.084867	1.604593	67.842000	56.480000	
0.100000	1.061198	1.464603	68.484000	59.820000	
0.100000	1.039323	1.620231	69.332000	56.650000	
0.100000	1.007614	1.487296	69.736000	59.870000	
0.100000	0.998109	1.436344	70.122000	59.870000	
0.100000	0.975357	1.462059	70.732000	60.190000	
0.100000	0.956061	1.426845	71.250000	60.930000	
0.100000	0.937271	1.471988	71.676000	60.250000	
0.100000	0.913728	1.578837	72.440000	57.590000	
0.100000	0.904971	1.423146	72.830000	61.930000	
0.100000	0.888364	1.442872	73.026000	60.720000	
0.100000	0.867849	1.394152	73.802000	61.680000	
0.100000	0.859179	1.453165	73.886000	61.580000	
0.100000	0.852292	1.380600	74.068000	62.360000	
0.100000	0.834445	1.470989	74.740000	60.610000	
0.100000	0.823658	1.449047	74.924000	61.160000	
0.100000	0.823606	1.460452	74.782000	61.550000	
0.100000	0.810653	1.486645	75.060000	60.500000	
0.100000	0.796312	1.456526	75.432000	61.370000	
0.100000	0.788194	1.415832	75.706000	61.850000	
0.100000	0.773920	1.615619	76.218000	59.520000	
0.100000	0.765647	1.443307	76.462000	62.430000	
0.100000	0.759952	1.512008	76.518000	60.980000	
0.100000	0.744966	1.413299	77.152000	62.030000	
0.100000	0.735007	1.449992	77.136000	62.260000	
0.100000	0.735849	1.350730	77.276000	64.120000	
0.100000	0.723881	1.394631	77.716000	63.370000	
0.100000	0.711180	1.286529	78.024000	65.310000	
0.100000	0.713824	1.399052	78.018000	62.880000	
0.100000	0.705465	1.340943	78.146000	64.120000	
0.100000	0.696869	1.335009	78.430000	63.770000	
0.100000	0.687326	1.526022	78.806000	61.840000	
0.100000	0.684106	1.338790	78.718000	64.440000	
0.100000	0.675970	1.366344	79.144000	64.250000	
0.100000	0.684000	1.436160	78.672000	62.850000	
0.100000	0.661506	1.538477	79.456000	60.500000	
0.100000	0.666231	1.434916	79.332000	63.440000	
0.100000	0.653666	1.309639	79.748000	65.770000	
0.100000	0.660077	1.416718	79.534000	62.800000	
0.100000	0.649520	1.273184	79.720000	65.740000	
0.100000	0.640404	1.253166	79.834000	66.520000	
0.100000	0.634262	1.427382	80.152000	62.520000	
0.100000	0.638028	1.402225	79.962000	63.960000	
0.100000	0.625023	1.465458	80.486000	62.470000	
0.100000	0.628257	1.384437	80.402000	64.310000	
0.100000	0.616924	1.383916	80.604000	64.500000	
0.100000	0.617999	1.341940	80.614000	65.350000	
0.100000	0.608574	1.318159	81.048000	64.560000	
0.100000	0.602759	1.501268	81.044000	62.280000	
0.100000	0.608745	1.450593	80.860000	63.490000	
0.100000	0.606832	1.516352	80.826000	61.910000	
0.100000	0.594211	1.355816	81.322000	65.360000	
0.100000	0.592517	1.373634	81.352000	64.890000	
0.100000	0.606320	1.304534	80.996000	65.530000	
0.100000	0.582632	1.341114	81.584000	64.780000	
0.100000	0.578846	1.412279	81.852000	64.200000	
0.100000	0.569993	1.284502	82.048000	65.580000	
0.100000	0.577177	1.309733	81.644000	65.990000	
0.100000	0.586307	1.278625	81.512000	66.490000	
0.100000	0.578293	1.349565	81.884000	64.680000	
0.100000	0.566986	1.392498	82.044000	64.800000	
0.100000	0.569733	1.392355	82.122000	63.200000	
0.010000	0.314261	0.899730	90.862000	75.160000	
0.010000	0.236799	0.896641	93.480000	75.770000	
0.010000	0.205351	0.904487	94.360000	75.580000	
